512
10
(-1.17815e-12,0)
(1.19173e-12,-0.00428308)
(-1.19041e-12,0.00143441)
(1.1923e-12,0.000946599)
(-9.88155e-13,0.00101881)
(1.17866e-12,-0.000145559)
(-4.37643e-13,0.000669499)
(1.15562e-12,-0.00461001)
(-1.96904e-12,0.00177348)
(1.15908e-12,0.00148242)
(9.51702e-13,-12800)
(1.19005e-12,-0.0044326)
(-2.38926e-12,-0.00264457)
(1.17675e-12,0.00358077)
(-5.54277e-13,0.000301081)
(1.70162e-12,-2560)
(-2.52363e-12,-0.00105346)
(6.37503e-13,-0.00196453)
(-1.1186e-12,0.00204252)
(1.16419e-12,0.00169943)
(-7.21626e-13,-7680)
(1.1799e-12,-0.00149718)
(-4.76386e-12,-0.00164156)
(1.19673e-12,0.000602542)
(-1.24992e-12,-0.00214945)
(1.12118e-12,-0.000671321)
(-2.4366e-12,-0.00348295)
(1.15853e-12,0.00548669)
(-8.20554e-13,-0.00332377)
(1.17877e-12,0.00187769)
(-8.85051e-13,-5120)
(6.70866e-13,-0.00140991)
(-1.17815e-12,0.00614305)
(1.17196e-12,-0.0064421)
(-1.94911e-12,0.00103344)
(1.17771e-12,-0.0019474)
(-1.39819e-12,0.000101298)
(1.17135e-12,0.00403589)
(-8.80476e-13,-0.000612905)
(1.18316e-12,-0.00165542)
(-1.82474e-12,-10240)
(1.16895e-12,-0.00285225)
(6.36022e-13,0.0049801)
(1.18249e-12,-0.00553744)
(-2.68853e-12,0.00503592)
(1.16634e-12,-0.00420594)
(-2.12803e-12,0.00287613)
(1.67707e-12,-0.00352218)
(-8.43938e-12,0.00630057)
(7.39992e-13,0.00105382)
(-1.06822e-12,-0.00613599)
(1.17265e-12,-0.00097889)
(8.27253e-13,0.000733394)
(1.17916e-12,0.00185015)
(-3.15214e-12,0.00269131)
(1.17377e-12,-0.00101301)
(-2.67822e-12,-0.000686044)
(1.16806e-12,-0.0034087)
(-1.81305e-12,0.00782721)
(1.1873e-12,0.00407853)
(-1.01632e-12,0.00127583)
(1.19085e-12,0.000621417)
(8.09797e-13,0.002969)
(1.07708e-12,0.00340969)
(-1.17815e-12,0.000768832)
(1.19313e-12,-0.00106999)
